State,Area_Name,PCTPOVALL_2015,PCTPOV017_2015,MEDHHINC_2015
WA,Grays Harbor County,16.0,24.9,"44,345"
WA,Island County,8.4,12.7,"60,567"
WA,Jefferson County,11.9,23.3,"53,421"
WA,King County,9.8,10.6,"81,816"
WA,Kitsap County,9.9,11.8,"65,814"
WA,Kittitas County,20.0,16.3,"47,378"
WA,Klickitat County,17.2,23.6,"50,043"
WA,Lewis County,15.3,22.0,"47,619"
WA,Lincoln County,14.0,18.6,"49,774"
WA,Mason County,16.9,27.0,"54,175"
WA,Okanogan County,20.5,28.2,"41,844"
WA,Pacific County,18.8,25.8,"41,088"
WA,Pend Oreille County,19.6,31.0,"41,526"
WA,Pierce County,12.4,16.7,"60,168"
WA,San Juan County,11.5,18.5,"59,859"
WA,Skagit County,14.9,20.4,"56,891"
WA,Skamania County,14.5,20.5,"53,733"
WA,Snohomish County,9.3,11.5,"76,053"
WA,Spokane County,15.5,19.6,"48,676"
WA,Stevens County,19.7,27.2,"42,845"
WA,Thurston County,12.2,15.0,"62,299"
WA,Wahkiakum County,12.6,25.0,"50,402"
WA,Walla Walla County,16.5,20.9,"50,120"
WA,Whatcom County,14.4,14.5,"55,073"
WA,Whitman County,20.8,14.4,"43,817"
WA,Yakima County,19.1,27.4,"46,891"
WV,West Virginia,18.0,24.7,"41,969"
WV,Barbour County,20.1,28.2,"37,330"
WV,Berkeley County,12.5,18.5,"54,217"
WV,Boone County,23.4,30.6,"37,971"
WV,Braxton County,23.7,33.3,"35,892"
WV,Brooke County,14.9,20.3,"45,272"
WV,Cabell County,20.2,26.5,"39,044"
WV,Calhoun County,20.0,30.0,"36,403"
WV,Clay County,27.7,37.4,"30,369"
WV,Doddridge County,18.1,25.8,"41,115"
WV,Fayette County,19.9,28.9,"36,235"
WV,Gilmer County,25.8,26.3,"36,392"
WV,Grant County,15.9,24.4,"38,370"
WV,Greenbrier County,19.0,27.1,"38,209"
WV,Hampshire County,18.6,27.9,"40,293"
WV,Hancock County,13.7,21.5,"42,009"
WV,Hardy County,14.4,23.9,"41,344"
WV,Harrison County,16.0,21.9,"46,979"
WV,Jackson County,15.4,22.8,"44,675"
